"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"12/30/2025","Credit Interest","","SCHWAB1 INT 11/26-12/29","","","","$0.83"
"12/30/2025","Buy","ASTS","AST SPACEMOBILE INC CLASS A","25","$77.215","","-$1930.38"
"12/30/2025","Buy to Open","ORCL 01/02/2026 202.50 C","CALL ORACLE CORP $202.5 EXP 01/02/26","1","$1.16","$0.66","-$116.66"
"12/29/2025","Buy to Open","MU 01/09/2026 320.00 C","CALL MICRON TECHNOLOGY I$320 EXP 01/09/26","1","$2.36","$0.66","-$236.66"
"12/29/2025","Cash Dividend","MSTY","TIDAL TR II YIELDMAX MSTR OPTION INCOME STRATEGY ETF NEW","","","","$5.11"
"12/29/2025 as of 12/26/2025","Expired","ORCL 12/26/2025 202.50 C","CALL ORACLE CORP $202.5 EXP 12/26/25","-13","","",""
"12/26/2025 as of 12/24/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$50.00"
"12/24/2025","Buy to Open","ORCL 12/26/2025 202.50 C","CALL ORACLE CORP $202.5 EXP 12/26/25","10","$0.42","$6.61","-$426.61"
"12/22/2025","Buy to Open","ORCL 12/26/2025 202.50 C","CALL ORACLE CORP $202.5 EXP 12/26/25","3","$1.60","$1.98","-$481.98"
"12/19/2025","Buy","ONDS","ONDAS HLDGS INC","200","$9.02","","-$1804.00"
"12/19/2025","Cash Dividend","MSTY","TIDAL TR II YIELDMAX MSTR OPTION INCOME STRATEGY ETF NEW","","","","$3.87"
"12/19/2025 as of 12/18/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$50.00"
"12/17/2025","Sell to Close","MU 12/19/2025 260.00 C","CALL MICRON TECHNOLOGY I$260 EXP 12/19/25","1","$2.93","$0.66","$292.34"
"12/16/2025","Buy to Open","MU 12/19/2025 260.00 C","CALL MICRON TECHNOLOGY I$260 EXP 12/19/25","1","$2.92","$0.66","-$292.66"
"12/15/2025","Sell to Close","SPXW 12/15/2025 6800.00 P","PUT S & P ...500 INDEX $6800 EXP 12/15/25","1","$5.00","$1.22","$498.78"
