Instrument,Entry Time (EET),Type,Side,Amount,Entry Price,SL Price,TP Price,Exit Time (EET),Exit Price,Fee,Swap,P&L,Net P&L,Order ID,Position ID
XAGUSD,2025/12/31 08:16:40,Stop loss,Buy,0.01,71.252,71.254,74.173,2025/12/31 19:44:21,71.251,-$0.10,$0.00,-$0.05,-$0.15,7277816997874091487,7277816997838276629
XAGUSD,2025/12/30 19:00:48,Stop loss,Buy,0.10,77.223,77.225,-,2025/12/30 19:04:00,77.214,-$1.00,$0.00,-$4.50,-$5.50,7277816997874031840,7277816997838261042
XAGUSD,2025/12/30 18:56:40,Market,Buy,0.10,76.679,76.681,-,2025/12/30 19:00:10,76.979,-$1.00,$0.00,$150.00,$149.00,7277816997874031385,7277816997838260888
XAGUSD,2025/12/30 14:30:56,Stop loss,Buy,0.10,75.643,76.225,-,2025/12/30 15:22:40,76.206,-$1.00,$0.00,$281.50,$280.50,7277816997873990581,7277816997838249753
XAUUSD,2025/12/30 14:32:19,Stop loss,Buy,0.05,"4,394.39","4,394.49",-,2025/12/30 15:19:59,"4,391.33",-$0.50,$0.00,-$15.30,-$15.80,7277816997873990659,7277816997838249775
XAGUSD,2025/12/30 05:44:10,Market,Buy,0.10,74.475,-,-,2025/12/30 05:45:36,74.483,-$1.00,$0.00,$4.00,$3.00,7277816997873959101,7277816997838242141
XAGUSD,2025/12/30 04:50:06,Market,Buy,0.03,73.529,73.531,76.080,2025/12/30 05:42:00,74.346,-$0.30,$0.00,$122.55,$122.25,7277816997873958838,7277816997838241204
XAGUSD,2025/12/29 20:51:47,Stop loss,Buy,0.01,71.667,72.269,75.931,2025/12/29 23:27:12,72.254,-$0.10,$0.00,$29.35,$29.25,7277816997873922819,7277816997838232775
XAGUSD,2025/12/29 06:14:18,Trailing Stop Loss,Buy,0.15,79.886,79.756,83.000,2025/12/29 06:14:36,79.708,-$1.50,$0.00,-$133.50,-$135.00,7277816997873827695,7277816997838207475
XAGUSD,2025/12/26 22:22:41,Stop loss,Buy,0.03,78.076,82.812,-,2025/12/29 01:30:02,82.811,-$0.30,-$0.85,$710.25,$709.10,7277816997873790294,7277816997838184868
XAGUSD,2025/12/26 22:10:42,Market,Sell,0.01,77.759,-,-,2025/12/26 22:22:17,78.090,-$0.10,$0.00,-$16.55,-$16.65,7277816997873754087,7277816997838184686
XAUUSD,2025/12/26 18:07:13,Stop loss,Buy,0.20,"4,549.92","4,543.88",-,2025/12/26 18:11:27,"4,543.79",-$2.00,$0.00,-$122.60,-$124.60,7277816997873732967,7277816997838179081
XAUUSD,2025/12/26 17:37:30,Stop loss,Buy,0.20,"4,541.03","4,541.13",-,2025/12/26 17:40:02,"4,540.35",-$2.00,$0.00,-$13.60,-$15.60,7277816997873728625,7277816997838177953
XAUUSD,2025/12/26 17:32:30,Market,Buy,0.20,"4,537.06","4,537.16",-,2025/12/26 17:36:40,"4,537.49",-$2.00,$0.00,$8.60,$6.60,7277816997873728227,7277816997838177714
XAGUSD,2025/12/26 17:28:29,Stop loss,Buy,0.10,75.778,75.568,-,2025/12/26 17:30:24,75.560,-$1.00,$0.00,-$109.00,-$110.00,7277816997873726952,7277816997838177517
XAGUSD,2025/12/26 03:54:00,Market,Sell,0.10,74.365,-,-,2025/12/26 04:15:25,74.801,-$1.00,$0.00,-$218.00,-$219.00,7277816997873673983,7277816997838162833
XAGUSD,2025/12/26 03:38:10,Market,Buy,0.10,75.100,-,-,2025/12/26 04:05:21,74.257,-$1.00,$0.00,-$421.50,-$422.50,7277816997873673237,7277816997838162458
XAUUSD,2025/12/23 16:58:56,Market,Sell,0.20,"4,445.12","4,445.02",-,2025/12/23 17:05:38,"4,434.78",-$2.00,$0.00,$206.80,$204.80,7277816997873497687,7277816997838114633
XAUUSD,2025/12/23 02:00:05,Market,Buy,0.10,"4,460.33","4,460.43",-,2025/12/23 02:52:08,"4,467.85",-$1.00,$0.00,$75.20,$74.20,7277816997873422080,7277816997838094331
XAUUSD,2025/12/22 20:00:39,Stop loss,Sell,0.05,"4,437.23","4,443.01","4,413.97",2025/12/22 23:04:51,"4,443.16",-$0.50,$0.00,-$29.65,-$30.15,7277816997873394919,7277816997838088498
XAUUSD,2025/12/22 17:45:53,Stop loss,Buy,0.25,"4,431.65","4,431.75",-,2025/12/22 17:59:22,"4,431.47",-$2.50,$0.00,-$4.50,-$7.00,7277816997873378129,7277816997838084054
XAUUSD,2025/12/22 16:20:25,Market,Buy,0.02,"4,427.26",-,-,2025/12/22 16:57:46,"4,421.02",-$0.20,$0.00,-$12.48,-$12.68,7277816997873366456,7277816997838077414
